iter	Passed	Remaining
0	50	126409
1	104	129989
2	180	148726
3	232	144251
4	296	146762
5	357	147647
6	423	149650
7	472	146162
8	521	143126
9	573	141761
10	631	141782
11	695	143146
12	753	143142
13	804	141764
14	876	144080
15	928	143042
16	991	143724
17	1051	143900
18	1096	142025
19	1149	141419
20	1205	141201
21	1245	139161
22	1299	138841
23	1353	138556
24	1408	138388
25	1456	137563
26	1547	140642
27	1679	147156
28	1736	146852
29	1787	146056
30	1861	147140
31	1919	146882
32	1967	145946
33	2007	144462
34	2042	142767
35	2091	142072
36	2148	141894
37	2214	142338
38	2265	141881
39	2304	140640
40	2346	139634
41	2398	139306
42	2451	138989
43	2506	138814
44	2553	138232
45	2598	137547
46	2657	137602
47	2701	136919
48	2756	136826
49	2812	136739
50	2868	136681
51	2911	135987
52	2969	136051
53	3030	136198
54	3071	135485
55	3118	135055
56	3162	134487
57	3215	134321
58	3264	133994
59	3311	133626
60	3364	133464
61	3421	133511
62	3468	133124
63	3523	133052
64	3564	132501
65	3621	132496
66	3662	131955
67	3706	131539
68	3752	131184
69	3795	130722
70	3841	130409
71	3888	130102
72	3938	129920
73	3998	130057
74	4052	130014
75	4109	130054
76	4159	129872
77	4211	129743
78	4245	129091
79	4294	128895
80	4343	128702
81	4387	128357
82	4443	128370
83	4491	128159
84	4546	128151
85	4597	128023
86	4645	127837
87	4696	127699
88	4746	127570
89	4792	127319
90	4841	127144
91	4888	126949
92	4940	126847
93	4980	126476
94	5035	126468
95	5088	126407
96	5139	126324
97	5190	126224
98	5240	126101
99	5282	125786
100	5339	125819
101	5394	125823
102	5447	125774
103	5492	125526
104	5546	125512
105	5602	125523
106	5671	125823
107	5719	125680
108	5768	125540
109	5818	125411
110	5869	125318
111	5915	125118
112	5964	124997
113	6022	125042
114	6069	124868
115	6126	124908
116	6190	125079
117	6231	124788
118	6275	124569
119	6316	124284
120	6364	124124
121	6418	124116
122	6463	123904
123	6514	123823
124	6557	123591
125	6608	123524
126	6660	123459
127	6714	123426
128	6761	123277
129	6810	123163
130	6867	123192
131	6922	123186
132	6975	123150
133	7026	123063
134	7083	123092
135	7142	123153
136	7197	123138
137	7246	123029
138	7341	123687
139	7427	124194
140	7508	124615
141	7575	124774
142	7627	124700
143	7686	124746
144	7737	124654
145	7816	125012
146	7885	125202
147	7937	125120
148	7996	125159
149	8058	125235
150	8114	125213
151	8164	125099
152	8224	125142
153	8280	125118
154	8328	124978
155	8389	125037
156	8438	124911
157	8487	124783
158	8526	124523
159	8581	124485
160	8632	124391
161	8689	124391
162	8745	124363
163	8797	124287
164	8841	124103
165	8891	123993
166	8933	123791
167	8994	123838
168	9033	123584
169	9087	123538
170	9137	123434
171	9188	123348
172	9245	123337
173	9305	123371
174	9342	123106
175	9395	123052
176	9447	122978
177	9494	122839
178	9538	122670
179	9589	122586
180	9637	122471
181	9691	122425
182	9743	122347
183	9791	122231
184	9839	122113
185	9899	122151
186	9954	122113
187	10005	122036
188	10050	121878
189	10110	121913
190	10157	121782
191	10208	121701
192	10265	121692
193	10312	121571
194	10377	121658
195	10426	121557
196	10464	121324
197	10500	121070
198	10540	120870
199	10575	120618
200	10619	120461
201	10653	120192
202	10691	119978
203	10737	119850
204	10785	119749
205	10832	119631
206	10874	119465
207	10924	119377
208	10972	119285
209	11011	119085
210	11051	118891
211	11093	118726
212	11145	118677
213	11185	118497
214	11219	118253
215	11273	118218
216	11311	118011
217	11357	117895
218	11397	117724
219	11440	117577
220	11487	117474
221	11546	117489
222	11592	117385
223	11637	117262
224	11681	117130
225	11729	117033
226	11772	116895
227	11821	116812
228	11861	116650
229	11907	116542
230	11950	116404
231	11999	116319
232	12039	116155
233	12068	115888
234	12104	115692
235	12153	115614
236	12203	115546
237	12242	115377
238	12278	115183
239	12316	115004
240	12361	114897
241	12404	114770
242	12456	114726
243	12505	114652
244	12543	114474
245	12594	114427
246	12649	114406
247	12691	114275
248	12733	114138
249	12786	114110
250	12818	113886
251	12856	113721
252	12890	113520
253	12919	113274
254	12956	113101
255	12995	112951
256	13045	112892
257	13090	112795
258	13140	112736
259	13190	112674
260	13231	112545
261	13277	112451
262	13325	112381
263	13364	112231
264	13414	112178
265	13453	112031
266	13509	112021
267	13546	111857
268	13585	111716
269	13627	111593
270	13658	111383
271	13688	111171
272	13720	110969
273	13766	110887
274	13805	110748
275	13853	110680
276	13889	110513
277	13931	110399
278	13977	110317
279	14032	110302
280	14077	110212
281	14125	110145
282	14173	110086
283	14220	110012
284	14271	109967
285	14310	109832
286	14345	109663
287	14398	109640
288	14439	109517
289	14484	109433
290	14533	109375
291	14575	109268
292	14619	109170
293	14670	109132
294	14706	108975
295	14750	108887
296	14799	108828
297	14846	108756
298	14886	108635
299	14920	108474
300	14953	108302
301	14996	108200
302	15037	108092
303	15070	107924
304	15114	107831
305	15159	107754
306	15210	107710
307	15265	107704
308	15321	107696
309	15356	107543
310	15391	107396
311	15433	107291
312	15487	107277
313	15531	107183
314	15568	107051
315	15613	106970
316	15664	106933
317	15717	106906
318	15759	106811
319	15803	106719
